"Plant Name, Unit Number",State,County,NRC Region,Licensee,Parent Company Utility Name,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Licensed MWt,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Years of Operation through 12/31/2019,STAR,class,
"McGuire Nuclear Station, Unit 1",North Carolina,Huntersville,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-ICECND,WEST 4LP,DUKE,DUKE,3411,100%,90%,89%,95%,82%,82%,105%,94%,92%,104%,87%,38,0,1,0
"McGuire Nuclear Station, Unit 2",North Carolina,Huntersville,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-ICECND,WEST 4LP,DUKE,DUKE,3411,92%,86%,97%,87%,94%,95%,82%,91%,104%,94%,90%,36,0,1,0
"Millstone Power Station, Unit 2",Connecticut,Waterford,1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,PWR-DRYAMB,CE,BECH,BECH,2700,82%,85%,93%,85%,85%,95%,83%,87%,97%,81%,86%,44,0,0,0
"Millstone Power Station, Unit 3",Connecticut,Waterford,1,"Dominion Nuclear Conneticut, Inc.",Dominion Generation,PWR-DRYSUB,WEST 4LP,S&W,S&W,3650,100%,89%,83%,97%,87%,87%,100%,87%,86%,105%,88%,33,0,1,0
"Monticello Nuclear Generating Plant, Unit 1",Minnesota,Monticello,3,Northern States Power Company - Minnesota,Northern States Power Company Minnesota doing business as Xcel Energy,BWR-MARK 1,GE 3,BECH,BECH,2004,99%,86%,93%,78%,78%,50%,101%,69%,94%,83%,97%,49,0,0,1
"Nine Mile Point Nuclear Station, Unit 1",New York,Scriba,1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",BWR-MARK 1,GE 2,NIAG,S&W,1850,99%,87%,96%,88%,98%,88%,87%,84%,97%,92%,98%,45,0,1,1
"Nine Mile Point Nuclear Station, Unit 2",New York,Scriba,1,"Nine Mile Point Nuclear Station, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",BWR-MARK 2,GE 5,S&W,S&W,3988,90%,101%,92%,100%,87%,99%,83%,95%,89%,99%,90%,32,0,1,0
"North Anna Power Station, Unit 1",Virginia,Mineral,2,Virginia Electric & Power Co.,Dominion Generation,PWR-DRYSUB,WEST 3LP,S&W,S&W,2940,90%,99%,89%,91%,100%,89%,89%,78%,86%,92%,101%,41,0,1,0
"North Anna Power Station, Unit 2",Virginia,Mineral,2,Virginia Electric & Power Co.,Dominion Generation,PWR-DRYSUB,WEST 3LP,S&W,S&W,2940,99%,89%,87%,99%,92%,85%,99%,76%,100%,100%,82%,39,0,1,0
"Oconee Nuclear Station, Unit 1",South Carolina,Seneca,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-DRYAMB,B&W LLP,DBDB,DUKE,2568,90%,95%,83%,96%,91%,91%,90%,79%,100%,85%,84%,46,0,0,0
"Oconee Nuclear Station, Unit 2",South Carolina,Seneca,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-DRYAMB,B&W LLP,DBDB,DUKE,2568,100%,88%,98%,89%,101%,82%,102%,93%,91%,103%,86%,46,0,1,0
"Oconee Nuclear Station, Unit 3",South Carolina,Seneca,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-DRYAMB,B&W LLP,DBDB,DUKE,2568,92%,97%,91%,97%,92%,97%,86%,103%,91%,94%,102%,45,0,1,1
Palisades Nuclear Plant,Michigan,Covert,3,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,"2565,4",77%,86%,99%,89%,86%,85%,74%,96%,92%,90%,99%,48,0,0,1
"Palo Verde Nuclear Generating Station, Unit 1",Arizona,Wintersburg,4,Arizona Public Service Company,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,3990,97%,85%,83%,94%,90%,85%,100%,83%,81%,101%,86%,34,1,0,1
"Palo Verde Nuclear Generating Station, Unit 2",Arizona,Wintersburg,4,Arizona Public Service Company,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,3990,82%,86%,95%,85%,90%,91%,90%,91%,101%,83%,74%,33,1,0,0
"Palo Verde Nuclear Generating Station, Unit 3",Arizona,Wintersburg,4,Arizona Public Service Company,Arizona Public Service Company,PWR-DRYAMB,CE80-2L,BECH,BECH,3990,90%,92%,85%,85%,101%,79%,88%,97%,89%,83%,97%,32,1,0,0
